,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-09-06,2209.8723700561522,2196.131591796875,426.80242324749895,1566.384649658203,2928.3975463867187,1457.0311584472656,3114.7304626464834,estimate
2020-09-07,2162.1131463623046,2128.8966064453125,427.0405841288902,1529.5802490234375,2905.9299438476564,1419.3077026367187,3119.384185791015,estimate
2020-09-08,2114.37218649292,2082.485595703125,415.83885907752426,1504.4796081542968,2843.63720703125,1411.686605834961,3037.8866577148433,estimate
2020-09-09,2062.3357854309083,2040.5086059570312,396.52292122937496,1461.6933471679686,2761.669836425781,1355.9184661865236,2951.7822387695305,estimate
2020-09-10,2000.1517287292481,1968.7864379882812,382.73677639659775,1414.9083251953125,2673.0620727539062,1327.2614349365235,2846.3721008300768,estimate
2020-09-11,1944.0632427978517,1916.0155029296875,376.62471796574346,1375.0002502441407,2614.696728515625,1280.4579833984374,2789.067065429687,estimate
2020-09-12,1894.7663297729491,1863.26611328125,366.37164143960865,1340.3996704101562,2553.330065917969,1262.7321472167969,2700.7518127441376,estimate
2020-09-13,1869.3598133239745,1834.0255126953125,358.85408639585324,1331.39033203125,2516.392492675781,1244.2377990722657,2704.0315002441407,estimate
2020-09-14,1845.3929348144532,1817.3551635742188,350.14880553074016,1306.7843872070314,2486.0169677734375,1234.368148803711,2622.7420471191404,estimate
2020-09-15,1819.5760388183594,1783.6016845703125,345.6596637265308,1314.9950378417968,2451.6136108398437,1223.0908081054688,2592.789526367187,estimate
2020-09-16,1796.710759613037,1764.371337890625,341.5361679607228,1287.7770874023438,2421.626904296875,1206.5081665039063,2553.8419067382815,estimate
2020-09-17,1769.340451171875,1733.6007080078125,340.080378520359,1261.6842895507812,2371.9162109374997,1189.024740600586,2512.545361328124,estimate
2020-09-18,1748.6597416992188,1716.045166015625,341.18977297564254,1264.9795349121096,2348.046008300781,1154.1944396972658,2513.361883544922,estimate
2020-09-19,1723.8501883850097,1687.5689697265625,343.82726921757546,1234.655871582031,2330.9689453124997,1150.0957580566408,2500.682482910156,estimate
2020-09-20,1717.2636319274902,1685.5588989257812,339.8296757646619,1227.4281250000001,2311.134985351562,1160.4861419677734,2455.4745056152337,estimate
2020-09-21,1721.229071838379,1678.6764526367188,346.9617290547976,1227.3394165039062,2334.8292846679683,1147.6440155029297,2541.054376220702,estimate
2020-09-22,1726.7295604858398,1687.1360473632812,347.1582006300613,1229.5826599121092,2317.054162597656,1145.6745147705078,2534.418829345702,estimate
2020-09-23,1730.7603398132323,1693.5300903320312,348.6111932200981,1225.8219421386718,2310.4633178710933,1153.6327911376952,2522.84697265625,estimate
2020-09-24,1744.1610871887208,1721.0037841796875,349.90187296015796,1219.691015625,2359.1295166015625,1113.989828491211,2493.010229492187,estimate
2020-09-25,1753.951205078125,1723.0859985351562,356.39371850972276,1208.7469970703125,2369.7478515625,1110.224642944336,2506.2056091308586,estimate
2020-09-26,1770.915376373291,1740.7567138671875,360.07064903150984,1223.6989196777345,2382.8020629882812,1125.2161560058594,2550.6996765136714,estimate
2020-09-27,1802.7960367126466,1771.4340209960938,369.9226943014314,1246.8863769531251,2437.300439453125,1145.3569030761719,2625.655651855468,estimate
2020-09-28,1838.4164700317383,1806.5301513671875,372.47140873618304,1294.4035278320312,2495.8907592773435,1218.7207763671875,2674.6860168457024,estimate
2020-09-29,1861.4740502929687,1838.4923706054688,374.8224951003808,1297.1172485351562,2516.658081054687,1216.9238006591797,2669.4619445800777,estimate
2020-09-30,1889.5122238769532,1862.284423828125,375.17651740426766,1323.4258728027344,2557.7791381835937,1242.2718688964844,2728.3616088867184,estimate
2020-10-01,1904.072495452881,1864.2322387695312,378.37966809942526,1339.0923828125,2590.839685058593,1259.2795379638671,2793.866571044922,estimate
2020-10-02,1896.867455810547,1868.7615966796875,375.17010786454676,1360.7811096191406,2564.5888183593747,1269.0789947509766,2772.212182617186,estimate
2020-10-03,1881.278278289795,1850.6981811523438,367.74108844320006,1345.6656799316406,2520.820874023437,1261.0465026855468,2733.2594177246096,estimate
2020-10-04,1855.4609050292968,1824.2774047851562,361.36358660298845,1308.2984436035156,2508.36552734375,1237.413995361328,2673.0688781738268,estimate
2020-10-05,1829.9194519958496,1796.9136352539062,361.9767471651482,1307.3570556640625,2477.5084106445315,1230.4764526367187,2624.689801025389,estimate
2020-10-06,1797.0317216186525,1767.8751220703125,353.21666647623965,1282.2692565917969,2417.8587402343746,1208.8865600585937,2565.352655029296,estimate
2020-10-07,1760.2715565795897,1741.3843383789062,348.73445826584003,1239.6001586914062,2377.355261230469,1149.27412109375,2548.7372863769533,estimate
2020-10-08,1721.079203552246,1703.95654296875,345.92484863276803,1211.3833923339844,2317.8837280273438,1117.1408752441407,2443.934118652344,estimate
2020-10-09,1687.3777395935058,1671.76806640625,338.9872885081349,1156.7406005859375,2262.573095703125,1084.6274169921876,2391.505828857422,estimate
2020-10-10,1661.1690112304686,1641.71728515625,342.0435645093733,1127.7910278320314,2231.6788330078125,1047.664254760742,2384.456115722656,estimate
2020-10-11,1658.615535675049,1642.1123046875,340.78080514797193,1132.759100341797,2246.6905517578125,1037.0476379394531,2368.522882080078,estimate
2020-10-12,1664.827134124756,1642.4429931640625,339.58884131947724,1134.0797607421875,2252.9125244140623,1040.6979187011718,2367.3955627441405,estimate
2020-10-13,1682.7392741394042,1672.0405883789062,341.77076001709855,1155.6831298828124,2276.449340820312,1055.8203491210938,2410.4557434082026,estimate
2020-10-14,1702.2303393249513,1680.67529296875,337.4952392728341,1176.4799560546876,2257.7424072265626,1103.942010498047,2417.387182617186,estimate
2020-10-15,1706.436221130371,1682.8549194335938,334.21411869870235,1195.6566040039063,2289.1736450195312,1133.895278930664,2401.852294921875,estimate
2020-10-16,1716.3109801025391,1691.2775268554688,332.8067353679761,1199.9056030273437,2294.3421875,1126.1050262451172,2433.623382568359,estimate
2020-10-17,1730.2487257995606,1714.1369018554688,336.6240483349974,1201.9228881835936,2301.3537231445316,1134.0920654296876,2431.8432678222657,estimate
2020-10-18,1747.3347566833495,1727.5070190429688,334.91713825554416,1234.014978027344,2305.8530639648434,1141.2744110107421,2450.5152343749996,estimate
